Property.Address.Longitude,Property.Address.Latitude,Price,SizeInternal,Price/SizeInternal_frozen,Building.BathroomTotal,Building.Bedrooms,Building.StoriesTotal,Building.Type,Property.Price,Property.Type,Property.Address.AddressText,Property.Parking[0].Name,Property.ParkingSpaceTotal,Property.TypeId,Property.ZoningType,Property.AmmenitiesNearBy,Property.ParkingType,PostalCode,Building.SizeExterior,Property.Parking[1].Name,Property.OwnershipType,Property.Parking[2].Name,Building.UnitTotal
-73.578687,45.489532,689000,738,933,2,3,20,Apartment,"$689,000",Single Family,"2020 Boul. René-Lévesque O.|#911|Montréal (Ville-Marie), Quebec H3H0B3",,,300,Residential,"Highway, CEGEP, Hospital, Park, Public Transit, University",,H3H0B3,,,Condominium/Strata,,
-73.574184,45.46497,635000,856.8,741,2,5,2,Apartment,"$635,000",Single Family,"3918 Rue Newmarch|Montréal (Verdun/Île-des-Soeurs), Quebec H4G1G8",,,300,Residential,"Highway, Hospital, Park, Schools, Public Transit",,H4G1G8,,,Condominium/Strata,,
-73.558671,45.494718,699000,956.91,730,2,3,197,Apartment,"$699,000",Single Family,"1000 Rue Ottawa|#609|Montréal (Le Sud-Ouest), Quebec H3C0P3",Garage,1,300,Residential,"Highway, Hospital, Park, Public Transit","Garage, Integrated Garage",H3C0P3,,Integrated Garage,Condominium/Strata,,
-73.737033,45.535935,660000,935.35,705,2,5,1,House,"$660,000",Single Family,"3700 2e Rue|Laval (Chomedey), Quebec H1V1H8",Other,2,300,Residential,"Highway, CEGEP, Hospital, Park, Schools",Other,H1V1H8,7243.47 sqft,,,,
-73.55965353,45.54216772,669000,990,675,2,3,7,Apartment,"$669,000",Single Family,"3043 Rue Sherbrooke E.|#PH27|Montréal (Rosemont/La Petite-Patrie), Quebec H1W0B9",Garage,1,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit, University",Garage,H1W0B9,,,Condominium/Strata,,
-73.575733,45.523375,640000,1011.8066,632,2,3,3,Apartment,"$640,000",Single Family,"4141 Rue St-Hubert|#1|Montréal (Le Plateau-Mont-Royal), Quebec H2L4A7",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit, University",,H2L4A7,,,Condominium/Strata,,
-73.663116,45.45691,699000,1130.2095,618,2,5,1,House,"$699,000",Single Family,"8105 Av. Sunnyhurst|Côte-Saint-Luc, Quebec H4X1A7",Other,3,300,Residential,"Golf Course, Park, Schools, Public Transit",Other,H4X1A7,108 m2,,,,
-73.56746683,45.48805617,664500,1078,616,2,3,7,Apartment,"$664,500 +  GST +  QST",Single Family,"385 Rue St-Martin|#611|Montréal (Le Sud-Ouest), Quebec H3J1W1",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit, University",,H3J1W1,,,Condominium/Strata,,
-73.56556166,45.48766953,671000,1092,614,2,3,8,Apartment,"$671,000 +  GST +  QST",Single Family,"288 Rue Richmond|#743|Montréal (Le Sud-Ouest), Quebec H3J1S1",Garage,1,300,Residential,,Garage,H3J1S1,,,Condominium/Strata,,
-73.59008,45.523022,548000,904.1676,606,2,3,2,Apartment,"$548,000",Single Family,"79 Rue Marmette|Montréal (Le Plateau-Mont-Royal), Quebec H2T1J7",,,300,Residential,,,H2T1J7,,,Undivided Co-ownership,,
-73.712877,45.517487,698000,1155,604,2,3,5,Apartment,"$698,000",Single Family,"2475 Rue des Équinoxes|#202|Montréal (Saint-Laurent), Quebec H4R0N7",Garage,2,300,Residential,"Highway, Park, Schools, Public Transit",Garage,H4R0N7,,,Condominium/Strata,,
-73.662204,45.503283,695000,1151.7373,603,2,3,7,Apartment,"$695,000",Single Family,"2335 Ch. Manella|#203|Mont-Royal, Quebec H4P0B3",Garage,1,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit, University",Garage,H4P0B3,107 m2,,Condominium/Strata,,
-73.564296,45.518344,619000,1025.8,603,2,3,2,Apartment,"$619,000",Single Family,"815 Rue Ontario E.|#225|Montréal (Ville-Marie), Quebec H2L1P1",,,300,Residential,"Public Transit, University",,H2L1P1,,,Condominium/Strata,,
-73.687331,45.499694,679000,1126,603,2,4,1,House,"$679,000",Single Family,"600 Rue Brunet|Montréal (Saint-Laurent), Quebec H4M1X8",Other,2,300,Residential,"Highway, Hospital, Park, Schools, Public Transit",Other,H4M1X8,1124.61 sqft,,,,
-73.59008,45.523022,698000,1173.2650999999998,594,2,3,2,Apartment,"$698,000",Single Family,"81 Rue Marmette|Montréal (Le Plateau-Mont-Royal), Quebec H2T1J7",,,300,Residential,,,H2T1J7,,,Undivided Co-ownership,,
